location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#operation+name,#assessment+type,#affected+idps,#round+code,#date+start,#date+end
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,167851,5,2015-08-30,2015-08-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,189011,6,2015-10-30,2015-10-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,162667,7,2015-12-30,2015-12-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,186268,8,2016-02-28,2016-02-28
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,200085,9,2016-04-30,2016-04-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,279782,10,2016-06-30,2016-06-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,318645,11,2016-08-30,2016-08-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,398749,12,2016-10-30,2016-10-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1770444,13,2016-11-30,2016-11-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1899830,14,2017-01-30,2017-01-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1811663,15,2017-03-30,2017-03-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1884331,16,2017-04-30,2017-04-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1825321,17,2017-06-30,2017-06-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1757288,18,2017-08-30,2017-08-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1713771,19,2017-10-30,2017-10-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1702680,20,2017-12-30,2017-12-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1782490,21,2018-02-28,2018-02-28
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1881198,22,2018-04-30,2018-04-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1918508,23,2018-06-30,2018-06-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1926748,24,2018-08-30,2018-08-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2026602,25,2018-10-30,2018-10-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1948349,26,2019-01-30,2019-01-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,1980036,27,2019-05-30,2019-05-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2018513,28,2019-08-31,2019-08-31
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2035232,29,2019-11-30,2019-11-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2039092,30,2019-12-31,2019-12-31
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2046604,31,2020-02-29,2020-02-29
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2088124,32,2020-06-30,2020-06-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2118550,33,2020-08-30,2020-08-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2144135,34,2020-11-30,2020-11-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2150243,35,2020-12-31,2020-12-31
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2184254,36,2021-02-28,2021-02-28
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2191193,37,2021-06-30,2021-06-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2197824,41,2022-03-31,2022-03-31
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2455190,42,2022-07-31,2022-07-31
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2210834,43,2022-11-30,2022-11-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2388703,44,2023-02-28,2023-02-28
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2295534,45,2023-06-30,2023-06-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2305335,46,2023-09-30,2023-09-30
